Card Name;quantity;Card Set;Card Number
Guzzlord GX Rainbow;1;Crimson Invasion;116
Palkia GX Rainbow;1;Ultra Prism;165
Lapras GX Rainbow;1;SM Base Set;151
Magikarp & Wailord GX Rainbow;1;Team Up;183
Kabu Rainbow;1;Champions Path;77
Professor's Research Rainbow;1;S&M  Base Set;209
Gardivour Vmax Rainbow;1;Champions Path;76
Cooperajah Vmax Rainbow;1;Rebel Clash;199
Centiskorch Vmax Rainbow;2;Darkness Ablaze;191
Butterfree Vmax Rainbow;1;Darkness Ablaze;190
Charizarad Vmax Rainbow;2;Champions Path;74
Dreadnaw Vmax Rainbow;3;Champions Path;75
Beauty Japanese Rainbow;1;S3a;89
Beauty Rainbow;1;Vivid Voltage;194
Alcreme Vmax Rainbow;2;Shining Fates;73
Flapple Vmax Rainbow;1;Battle Styles;164
Phoebe Rainbow;3;Battle Styles;175
Corviknight Vmax Rainbow;1;Battle Styles;171
Single Strike Style Mustard Rainbow;1;Battle Styles;177
Korrinas focus Rainbow;1;Battle styles;174
Sandacoda Vmax Rainbow;1;Chilling Reign;206
Umbreon Japanese Vmax Rainbow;1;s6a;94
Suspicious Food Tin Gold Card;6;Champions Path;80
Cape of Touhgness Gold Card;1;Vivid Voltage;200
Multi Switch Gold Card;1;Burning Shadows;164
Zacian v Gold Card;1;Sword and Shield Base;211
Galarian Obstagoon Gold Card;1;Vivid Voltage;198
Coalossal Gold Card;1;Darkness Ablazw;198
Heros Medal (Japanese) Gold Card;1;S3A;93
Triple Acceleration Energy Gold Card;1;Unbroken Bonds;234
Body Building Dumbbells Gold Card;1;Burning Shadows;161
Metal Energy Gold Card;1;Sun and Moon Base Set;163
Lunala GX Gold Card;1;Promo;SM103A
Solgaleo GX Gold Card;1;Promo;SM104A
Tapu Lele GX Gold Card;1;Hidden Fates;SV 94
Brooklet Hill Gold Card;1;Hidden Fates;SV 88
Reset stamp Gold Card;1;Unified Minds;253
Eternatus V Gold Card;1;Shining Fates;SV121
Eternatus Vmax Gold Card;1;Shining Fates;SV122
Single Strike Energy Gold Card;1;Battle Styles;183
Octillery Gold Card;1;Battle Styles;178
Exp Share Gold Card;1;Battle Styles;180
Water Energy Gold Card;1;Chilling Reign;231
Urn of Vitality Gold Card;1;Chilling Reign;229
Charizard ex psa 10;1;ex fire red & leaf green;105
Charizard gold star psa 4;1;ex Dragon Frontiers;100
Blastoise Shadowless psa 9;1;Base set;2
1st Edition Charizard holo psa 7;1;Base set;4
Japanese Shining Gyarados psa 8;1;Japanese neo 3;130
Crystal Nidoking psa 9;1;Aquapolis;150
Crystal Lugia psa 8;1;Aquapolis;149
Charizard Shiny psa 9;1;Champions Path;79
Electabuzz Movie Promo psa 8;1;;2
Mistys Tears Japanese psa 9;1;Hanada City Gym Decl;
Kogas Ninja Trick psa 5;1;Japanese Gym 2;
Kyogre ex CGC 7.5;1;Nintendo Power Magazine;BlackStar Promo
Groundon ex CGC 7.5;1;Nintendo Power Magazine;BlackStar Promo
Charmander CGC 8.5;1;Build a Bear ;Promo
Shadowless Charizard Beckett 6;1;Base Set;4
Haunter Holo Unlimited Beckett 9.5;1;Fossil;6
Tyranitar Holo Beckett 9;1;Expedition;29
Reshiram Gold Card Beckett 9.5;1;Legendary Treasures;114
Kyogre shiny Beckett 9;1;Call of Legends;SL6
Dark Espeon Holo Beckett 9;1;Neo Destiny;4
Mew Gold Star Beckett 8.5;1;Dragon Frontiers;101
Moltres Zapdos and Articuno Beckett 9.5;1;Promo;SM210
Charizard Promo Beckett 9.5;1;Promo;SWSH050
Charizard Vmax Rainbow Beckett 9.5;1;Champions Path;74
Mega Charizard EX Beckett 9.5;1;Evolutions;101
Charizard G Level X Beckett 9;1;Supreme Victors;143
Crawdaunt ex Beckett 9;1;Holon Phantomd;99
Zekrom & Pikachu Japanese  GX;2;sm12a;41
Dedenne GX Japanese;2;sm12a;48
Dusknoir & tree Japanese GX;1;sm12a;53
Volcarona GX;3;Cosmic Eclipse;35
Oricorio GX;1;Cosmic Eclipse;95
Ultra Beast GX Japanese;2;sm12a;28
Articuno Zapdos Moltres Japanese GX;2;sm12a;102
Mewtwo & Mew Japanese GX;1;sm12a;52
Garchomp & Giratini Japanese GX;2;sm12a;99
Malwile GX Japanese;1;sm12a;89
Clefary,igglybuff, togepi Japanese GX;1;sm12a;94
Zorarok & greninja Japanese GX;2;sm12a;72
wishiwashi GX Japanese;1;sm12a;39
Incinaroar GX Japanese;2;sm12a;82
Honchkrow GX;1;Unbroken Bonds;109
Gumshoos GX;1;Sun and Moon;110
Rowlet & Exeggutar Japanese GX;1;sm10b;1
Keldeo GX Japanese;1;sm10b;19
Greninja & Zoroark GX;1;Unbroken Bonds;201
Reshiram & Charizard GX;1;Unbroken Bonds;20
Celesteela GX;1;Unbroken Bonds;163
Garchomp & Giratini GX;2;Unified Minds;146
Celebi &Venasaur GX;1;Team Up;1
Dedenne GX ;1;Unbroken Bonds;57
Reshiram & Charizard GX Japanese;2;sm10;7
Raichu GX;5;SM Promo;213
Aerodactyl GX;1;Cosmic Eclipse;106
Charizard GX;8;SM Promo;211
Naganadel GX;1;Cosmic Eclipse;160
Raichu & Alolan Raichu GX;3;Unified Minds;54
Rayquazza GX Japanese;1;Sm8b;98
Neganadel GX Japanese;3;Sm8b;52
Wally and Silvally GX Japanese;1;SM11b;41
Solgaleo and lunala GX Japanese;2;Sm11b;20
Vileplume GX Japanese;2;Sm11b;3
Zekrom and Reshiram GX Japanese;1;sm11b;36
Onix GX;5;Hidden Fates;36
Silvally Gx Japanese;2;sm8b;111
Gyarados GX ;4;Promo;SM12
Bewar GX;1;Promo;SM34
Gyarados GX ;3;Hidden Fates;16
Necrazma GX Japanese;1;Sm12a;101
WishiWashi GX ;2;Cosmic Eclipse;63
Noivern GX;3;Burning Shadows;99
Mewtwo GX;3;Hidden Fates;31
Decidueye GX;1;Sun and Moon;12
Reshiram & Zekrom GX;1;Cosmic Eclipse;15
Lunala GX;1;SM Base Set;66
Charizard GX;1;Burning Shadows;20
Blastoise & Piplup GX;2;Cosmic Eclipse;38
Tapu Koko GX;1;Guardians Rising;47
Charizard GX;1;Hidden Fates;9
Golisopod GX;1;Burning Shadows;17
Tapu Fini GX;3;Burning Shadows ;39
Slyveon GX;1;Promo;92a
Solgaleo and lunala GX ;1;Cosmic Eclipse;75
Gardevoir GX;2;Burning Shadows;93
Salazzle GX;3;Burning Shadows;25
Venusaur & Snivy GX;1;Cosmic Eclipse;1
Starmie GX;1;Hidden Fates;14
Slowpoke & Psyduck GX;1;Unified Minds;35
Umbreon & Darkrai GX;2;Unified Minds;125
Silvally GX Japanese;1;Ultra Prism;116
Darkrai GX;1;Burning Shadows;88
Weavile GX;1;Unified Minds;132
Mega Sableye & Tyranitar GX;2;Unified Minds;126
Venusaur and Celebi GX Japanese;1;Sm9;1
Vikavolt GX;1;Guardians Rising;45
Latios GX;1;Unified Minds;78
Jirachi GX;3;Unified Minds;79
Umbreon GX;1;Sun and Moon;80
Rowlet & Alolan exeggutar GX;2;Unified Minds;1
Eevee & Snorlax GX;1;Tag Team;120
Latios & Latias GX;1;Tag Team;113
Greninja GX Japanese;2;Sm8b;33
Arceus Dialga & Palkia GX;1;Cosmic Eclipse;156
Leafeon GX;1;Promo;SM14
Salamence GX;1;Dragon Majesty ;44
Eevee & Snorlax GX Japanese;1;Sm9;66
Pinsir GX;2;Hidden Fates;6
Latios & Latias GX Japanese;1;sm9;60
Mega Lopunny & Jugglypuff GX;1;Cosmic Eclipse;165
Magikarp & Wailord GX Japanese;1;sm9;19
Necrazma GX Japanese;3;sm8b;104
Golisopod GX Japanese;3;sm8b;8
Wishiwashi GX Japanese;1;sm2L;14
Electrode GX;1;Celestial Storm;48
Necrozma GX;1;Burning Shadows;63
Marshadow GX;1;Burning Shadows;80
Metagross GX Japanese;1;SM1L;35
Glaceon GX Japanese;2;sm8b;27
Tapu lele GX Japanese;3;sm8b;44
Lycanrock GX Japanese;3;sm8b;61
Dialga GX;1;Forbidden Light;82
Ultra Beast GX Japanese;1;sm8b;39
solgaleo GX Japanese;1;sm8b;49
Ho-Oh GX;1;Burning Shadows;21
Zorarok GX Japanese;1;sm8b;70
Silvally ultra Beast GX Japanese;1;sm8b;86
Dragonite GX Full Art;1;Unified Minds;229
Aerodactyl GX Full Art;1;Unified Minds;224
Weavile Japanese GX Full Art;1;;183
Alolan Muk GX Full Art;2;Burning Shadows;138
Raichu GX Full Art;1;SM Promo;90
Dedenne GX Full Art;2;SM Promo;195a
Ho-Oh GX Full Art;1;Burning Shadows;131
Mewtwo GX Full Art;1;Shining Legends;72
Meltan GX Full Art;1;;184
Moltres Zapdos Articuno GX Full Art;1;Hidden Fates;66
Latios GX Full Art;1;Unified Minds;223
Raichu & Alolan Riachu GX Full Art;1;Unified Minds;220
Solgaleo & Lunala GX Full Art;1;Cosmic Eclipse;216
Machamp GX Full Art;1;Burning Shadows;135
Latios and Latias Japanese GX Full Art;1;;104
Golisopod GX Full Art;1;Burning Shadows;129
Tauros GX Full Art;1;Sun and Moon ;144
Viaplume GX Full Art;1;;62
Alolan Exeggutor GX Full Art;1;;56
Reshiram & Charizard GX Full Art;2;Unbroken Bonds;194
Tapu Fini GX Full Art;1;Burning Shadows;133
Latios GX Full Art;1;Unified Minds;223
Pheromos & Buzzwole GX Full Art;1;Unbroken Bonds;192
Gumshoos GX Full Art;1;Sun and moon ;145
Greninja Shiny GX Full Art;2;Hidden Fates;SV56
Rayquaza Shiny  GX Full Art;1;Promo;177a
Stakataka Shiny GX Full Art;1;Hidden Fates;SV74
Turtonator Shiny GX Full Art;1;Hidden Fates;SV52
Banette Shiny Japanese GX Full Art;1;sm8b;221
Golisopod Shiny GX Full Art;1;Hidden Fates;SV48
Articuno Shiny GX Full Art;1;Hidden Fates;SV54
Electrode Shiny GX Full Art;1;Hidden Fates;SV57
Ninetales Shiny Japanese GX Full Art;1;sm8b;213
Sylveon Shiny Japanese GX Full Art;1;sm8b;238
Kartana Shiny GX Full Art;1;Hidden Fates;SV73
Gardevoir Shiny GX Full Art;1;Hidden Fates;Sv75
Raichu GX;1;Hidden Fates;20
Stakataka GX;1;Cosmic Eclipse;102
Lefeaon V Full Art Secret Rare Japanese;1;s6a;70
Glaceon V Full Art Secret Rare Japanese;1;s6a;76
Vaporeon V Full Art Secret Rare Alternate Art Japanese;1;s6a;75
Charmander (Signed Leonhart / King Pokemon;1;Expedition;97
Charizard Holo;1;Evolutions;11
Ninetales ex;1;Hidden Legends;96
Magmar ex;1;Ruby & Sapphire;100
Latias ex;1;Dragon;93
Armaldo ex;1;Legend Maker;84
Dustox ex;1;Legend Maker;86
Kyogre ex;1;Promo;37
Charmander Shadowless;1;Base Set;46
Squirtle Shadowless;1;Base Set;63
Bulbasaur Shadowless;1;Base Set;44
Dark Blastoise Holo Japanese;1;Team Rocket;9
Combusken Winner Card;1;Promo;9
Chancy White diamond logo Japanese;1;Gym Set;113
Jumpluff Pokemon League Logo;1;-;14
Opal Full Art Trainer;1;Vivid Voltage;184
Pokemon Fan Club Full Art Trainer;1;Ultra Prism;155
Leon Full Art Trainer;1;Vivid Voltage;182
Beauty Full Art Trainer;1;Vivid Voltage;181
Hop Full Art Trainer;4;Champions Path;73
Reshiram Full Art;1;Black and White;113
Zekrom Full Art;1;Black and White;114
Thundurus Full Art;1;Emerging Powers;97
Tornadus Full Art;3;Emerging Powers;98
Darkrai Full Art;2;Promo;114
Shaymin Full Art;1;Promo;115
Jirachi Full Art;1;Promo;112
Jirachi Full Art;1;Promo;67a
Pikachu Full Art;1;Radiant Collection;RC29
Reshiram Full Art;1;Radiant Collection;RC22
Giovannis Exile Full Art Trainer;2;Hidden Fates;67
Giovannis Scheme Full Art Trainer;1;Breakthrough;162
Misty's Determination Full Art Trainer;1;Evolutions;108
Delinquent Full Art Trainer;1;Promo;98b
Professor Elm's Lecture Full Art Trainer;1;Lost Thunder;213
Roller Skater Full Art Trainer;1;Cosmic Eclipse;235
Archies Ace In The Hole Full Art Trainer;1;Primal Clash;157
Xerosic Full Art Trainer;1;Phantom Forces;119
Steven Full Art Trainer;1;Ancient Origins;95
Teammates Full Art Trainer;1;Primal Clash;160
Pokemon Breeder Full Art Trainer;1;Shining Legends;73
Jessie and James Full Art Trainer;1;Hidden Fates;68
Guzma Full Art Trainer;1;Hidden Fates;SV84
Fisherman Full Art Trainer;1;Hidden Fates;SV83
Morgan Full Art Trainer;1;Team Up;178
Ingo and Emmet Full Art Trainer;1;Shiny GX;155
Lillies Full Force Full Art Trainer;1;Am11b;68
Piers Full Art Trainer;2;Darkness Ablaze;187
Cara Liss Full Art Trainer;1;Shining Fates;67
Poke Kid Full Art Trainer;3;Shining Fates;70
Bird Keeper Full Art Trainer;1;Shining Fates;66
Marnie Full Art Trainer;1;Shiny Star V;198
Korrina's Focus Full Art Trainer;1;Battle Styles;160
Cynthia Full Art Trainer;1;Hidden Fates;SV82
Gym Trainer Full Art Trainer;1;Shining Fates;68
Cynthia & caitlin Full Art Trainer;1;Cosmic eclipse;228
Peonia Full Art Trainer;2;Chilling Reign;196
Rose Full Art Trainer;1;Shining Fates;71
Peony Full Art Trainer;1;Chilling Reign;197
Venusaur Holo (Near Mint / Mint);1;Base Set;15
Blaziken V Full Art;1;Chilling Reign;161
Professors Research Pokemon Go Card;1;Promo;SWSH178
JigglyPuff Build a Bear Card;1;Build a bear;Promo
Vulpix Buld a Bear Card;1;Build a bear;Promo
Phanpy Misprint;3;Call of Legends;66
Phanpy Reverse Misprint;1;Call of Legends;66
Lugia;1;Neo Genisis;9
Zapdos;1;Aquapolis;H22
Dark Charizard;1;Team Rocket;4
Machamp 1st Ed;2;Base Set;8
Gyarados Shadowless;1;Base Set;6
Dark Dragonite;1;Team Rocket Returns;15
Pikachu;8;Promo;3
Umbreon;1;Call of legends;22
Lapras;1;Promo;14
Roserade;1;Diamond and Pearl;13
Darkrai;1;Great Encounters;4
Exeggutor;1;Fire Red Leaf Green;5
Magneton;1;Fire Red Leaf Green;27
Manetric;1;Crystal Gaurdians ;8
Tauros;2;Pop Series 2;5
Vaporeon ;1;Jungle;12
Hitmontop;1;Neo Discovery;3
Dodrio;1;Fire Red Leaf Green;21
Typhlosion;1;Unseen forces;17
Nidoking;1;Base Set;11
Slaking ;1;Platinum;16
Giritina;2;Platinum;10
Mismagius;1;Diamond and Pearl;10
Dusknoir;2;Stormfront;1
Roserade;1;Rising Rivals;12
Venasaur;2;Supreme Victors;13
Giratina;2;Platinum;9
Infernape;1;Diamond and Pearl;5
Palkia G;2;Platinum;12
Pikachu;1;Promo;SM76
Froslass;1;Rising Rivals;6
Team Magmas Claydol;1;Team Aqua vs Team Magma;8
Team Aquas Cacturne;1;Team Aqua vs Team Magma;1
Beedrill;1;Fire Red Leaf Green;1
Rhyperior;1;Diamond and Pearl;12
Porygon-Z;2;Great Encounters;6
Tyranitar;1;Unleashed;26
Torterra;1;Diamond and Pearl;17
Blaziken;2;Great Encounters;1
Uxie ;2;Legends Awaken;43
Weavile;1;Platinum;17
Dialga G;1;Platinum;7
Darkrai G;1;Rising Rivals;3
Rotom;2;Great Encounters;7
Tangrowth;1;Great Encounters;10
Metagross;2;Pop Series 1;2
Mewtwo;1;Majestic Dawn;9
Gabite;1;Supreme Victors;59
Lickilicky;1;Secret Wonders;12
Tangrowth;1;Platinum Arceus;10
Ampharos;1;Platinum;1
Roserade;1;Diamond and Pearl;13
Blaziken;2;Platinum;3
Mothim;1;Platinum Arceus;6
Cresselia;2;Promo;DP51
Happiny ;4;Pop Series 8;14
Sceptile;2;Great Encounters;8
Lopunny;4;Pop Series 9;9
Gardevoir;1;Secret Wonders;7
Togekiss;1;Great Encounters;11
Swampert;1;Great Encounters;9
Cresselia;1;Great Encounters;2
Shaymin;1;Unleashed;8
Darkrai;1;Great Encounters;3
Krookodile;1;Dark explorers;66
Leafeon;1;Call of legends;13
Togekiss;1;Undaunted;9
Venusaur;1;Promo;13
Turtwig;1;Promo;DP01
Beheeyem;1;Next Destinies;62
Banette;1;Power keepers;4
Venusaur;2;Base Set;15
Chansey;1;Base Set;3
Kaputops 1st Ed;1;Fossil;9
Lapras 1st Ed;1;Fossil;10
Venomoth;1;Jungle;13
Jirachi;1;Rising Rivals;7
Flygon;1;Rising Rivals;5
Gardevoir;1;Platinum;8
Chimchar;1;Promo;DP02
Swalot;2;Platinum Arceus;9
Houndoom;2;Call of legends;10
Entei;1;Promo;34
Latios;2;Holon Phantoms;12
Vileplume;1;Holon Phantoms;17
Omastar;1;Holon Phantoms;13
Pidgeot;1;Holon Phantoms;14
Kingdra;2;Holon Phantoms;10
Deoxys;1;Holon Phantoms;5
Armaldo;1;Holon Phantoms;1
Mew;1;Secret Wonders;15
Dark Dragonite;1;Team Rocket;5
Sudowoodo;1;Unleashed;9
Ampharos;1;Dragon Frontiers;1
Charizard ;2;Crystal Gaurdians ;4
Deusknoir;1;Diamond and Pearl;2
Gyarados ;2;Call of legends;7
Hitmontop;2;Call of legends;8
Empoleon;1;Diamond and Pearl;4
Magmortar;1;Promo;DP20
Salamence;1;Secret Wonders;18
Zapdos;1;Majestic Dawn;14
Blaziken FB;3;Supreme Victors;2
Kyogre;1;Call of legends;12
Dialga;1;Call of legends;3
Metagross;1;Legends Awaken;10
Rampardos;1;Diamond and Pearl;13
Drapion;3;Triumphant;4
Plusle;1;Promo;6
Mightyena;1;Power keepers;18
Torterra;1;Stormfront;11
Salamence;1;Platinum Arceus;8
Staraptor;1;Diamond and Pearl;16
Electivire FB;1;Supreme Victors;4
Espeon;1;Undaunted;2
Metagross;1;Supreme Victors;7
Swampert;1;Supreme Victors;12
Rhyperior;1;Supreme Victors;10
Garchomp;1;Supreme Victors;5
Rayquazza C;1;Supreme Victors;8
Flygon;1;Pop Series 6;3
Dialga;1;Majestic Dawn;4
Heatran;1;Legends Awaken;30
Cradily;1;Sandstorm;3
Manaphy;1;Pop Series 6;3
Vaporeon ;1;Pop Series 3;6
Jirachi;1;Call of legends;11
Jolteon;1;Pop Series 3;3
Gengar Level X;3;Arceus;97
Electivire FB Level X;2;Supreme Victors;144
Torterra Level X;2;Diamond and Pearl;122
Azelf Level X;1;Legends Awakended;140
Mewtwo Level X;1;Promo;28
Giratina Level X;2;Promor;38
Garchomp C Level X;1;Supreme Victors;145
Arceus Level X;1;Arceus;94
Salamence Level X;1;Arceus;98
Infernape Level X;2;Promo;10
Infernape Level X;1;Diamond and Pearl;121
Blaziken FB Level X;1;Supreme Victors;142
Magmortar Level X;1;Mysterious Treasures;123
Palkia Level X;2;Great Encounters;106
Shaymin Level X;1;Platinum;126
Machamp Level X;1;Stormfront;98
Drapion Level X;2;Platinum;123
Ryhperior Level X;1;Promo;29
Alakazam Level X;1;Rising Rivals;103
Honchkrow Level X;2;Secret Wonders ;132
Rhyperior Level X;1;Legends Awakended;145
Dialga Level X;2;Promor;17
Lucario Level X;1;Mysterious Treasures;122
Palkia Level X;1;Promo;18
Empoleon Level X;1;Promo;11
Arceus Level X;1;Promo;53
Darkrai Level X;1;Great Encounters;104
Dusknoir Level X;1;Stormfront;96
M Venasaur Full Art EX;1;Evolutions;100
Valcanion Full Art EX;1;Steam Siege;115
Gardevoir Full Art EX;1;Steam Siege;116
Volcanion Full Art EX;1;Steam Siege;107
Sylveon Full Art EX;1;Radient Collection;RC32
Shaymin Full Art EX;1;Radient Collection;RC21
M Pidgeot Full Art EX;1;Evolutions;105
Mew Full Art EX;1;Radient Collection;RC24
Blastoise Full Art EX;1;Promo;XY122
Charizard Full Art EX;1;Promo;XY121
Zygarde Full Art EX;2;Promo;54a
Landorus Full Art EX;2;Boundaries Crossed;144
Alakazam Full Art EX;2;Fates Collide;117
Volcanion Full Art EX;1;Steam Siege;115
Mewtwo Full Art EX;1;Breakthrough;163
Mewtwo Full Art EX;1;Breakthrough;164
Houndoom Full Art EX;1;Breakthrough;153
Hoopa Full Art EX;1;Ancient Origins;89
Giratina Full Art EX Japanese;1;XY7;91
M Glalie Full Art EX;1;Breakthrough;156
M Rayquazza Full Art EX;1;Roaring Skies;105
Dialga Full Art EX;1;Phantom Forces;122
M Rayquazza Full Art EX;1;Ancient Origins;98
Magerna Full Art EX;1;Steam Siege;110
M Manetric Full Art EX;1;Promo;24a
Mew Full Art EX;1;Promo;XY126
Kyogre Full Art EX;1;Primal Clash;148
M Latios Full Art EX;1;Roaring Skies;102
Magnezone Full Art EX;1;Flashfire;101
Glaceon Full Art EX;1;Fates Collide;116
Registeel Full Art EX;1;Dragons Exalted;122
Raikou Full Art EX;1;Dark Explorers;105
Heatran Full Art EX;1;Plasma Freeze;109
Machamp EX;1;Ancient Origins;37
Kyurem EX;2;Ancient Origins;25
M Veansaur EX;1;Evolutions;2
Charizard EX;3;Evolutions;12
Magerna EX;2;Steam Siege;75
M Pidgeot EX;1;Evolutions;65
M Gardevoir EX;1;Steam Siege;79
M Absol EX;2;XY Promo;63
Absol EX;2;XY Promo;62
Camerupt EX;2;Primal Clash;29
Kyurem EX;2;Next Destinies;38
Dragonite EX;1;Evolutions;72
Dragonite EX;1;Furious Fists;74
Zekrom EX ;1;Promo;Promo
Manetric EX;1;Phantom Forces;23
Zapdos EX;1;Plasma Storm;48
Mewtwo EX;1;Promo;Promo
Gengar EX;1;Phantom Forces;34
Black Kyurem EX;1;Promo;BW62
Rayquazza EX;1;Promo;BW47
Gardevoir EX;1;Primal Clash;105
Malamar EX;1;Phantom Forces;58
Venasur EX;2;Evolutions;1
Leafeon EX;1;Generation;10
